Ties,Default Player wins,Connect_Four_Q_learning_agent wins
0.027,0.697,0.276
0.241,0.442,0.317
0.236,0.449,0.315
0.237,0.448,0.315
0.237,0.475,0.288
0.216,0.448,0.336
0.184,0.441,0.375
0.204,0.432,0.364
0.201,0.428,0.371
0.241,0.422,0.337
0.226,0.427,0.347
