Ties,Default Player wins,Tictactoe_Q_learning_agent wins
0.016,0.664,0.32
0.586,0.0,0.414
0.564,0.0,0.436
0.569,0.0,0.431
0.552,0.0,0.448
0.581,0.0,0.419
0.577,0.0,0.423
0.615,0.0,0.385
0.593,0.0,0.407
0.57,0.0,0.43
